gene	chromosome	tss
KHK	chr2	27309640
TBCE	chr1	235530742
APOLD1	chr12	12938593
MIR4260	chr1	209796855
HSD11B1-AS1	chr1	209915907
CCR2	chr3	46395602
LRP1B	chr2	142888585
TMEM18	chr2	676704
FAM89B	chr11	65340009
ACE	chr17	61562207
TES	chr7	115850593
MED22	chr9	136214986
GOLGA6L9	chr15	82722988
IQCJ	chr3	158787041
UCHL5	chr1	193028490
PML	chr15	74287057
KRTAP5-AS1	chr11	1593971
PPP4R2	chr3	73045962
PKN3	chr9	131464782
CDC16	chr13	115000320
USP5	chr12	6961314
ZNF10	chr12	133707213
WHRN	chr9	117267753
KCNH1-IT1	chr1	211306716
RCOR3	chr1	211433289
FGFR1	chr8	38326153
LINC00467	chr1	211556097
LINC01693	chr1	211813150
ZMYM3	chrX	70473990
LOC91548	chr1	211849104
HJV	chr1	145413278
LPGAT1-AS1	chr1	212004303
INTS7	chr1	212208899
CTDNEP1	chr17	7155297
ZNF788P	chr19	12203112
RPL21P28	chr1	212225393
MIR3122	chr1	212250955
LINC02608	chr1	212458363
SLC26A1	chr4	987192
RNF212	chr4	1107352
MAEA	chr4	1283679
SNORA16B	chr1	212526160
NR1I3	chr1	161207993
VPS13A	chr9	79792450
TEX55	chr3	118865012
SCFD2	chr4	54232228
IFIT2	chr10	91061803
OSBPL10	chr3	32023342
PRY2	chrY	24636544
ATP8A1	chr4	42659122
UQCRHL	chr1	16134194
RC3H2	chr9	125667638
BROX	chr1	222885906
SIX1	chr14	61116195
TSPAN31	chr12	58138822
ADGRL3	chr4	62066948
TSC2	chr16	2097896
CTNND1	chr11	57529274
ATPSCKMT	chr5	10250021
IDH3B	chr20	2644862
LAYN	chr11	111411233
ANGEL2	chr1	213189217
GFI1	chr1	92951657
SHTN1	chr10	118764698
RPS6KC1	chr1	213224575
PROX1-AS1	chr1	214159496
LINC00538	chr1	214098092
FMN1	chr15	33486915
WDR44	chrX	117480069
COL6A5	chr3	130064359
LARP1B	chr4	128982467
TMCO3	chr13	114145336
RBMY1B	chrY	23696765
DPPA4	chr3	109056364
IFI16	chr1	158979697
SMG9	chr19	44259114
GLIPR1	chr12	75874535
LOC102723833	chr1	216245807
IFT27	chr22	37172163
MTX2	chr2	177134170
OR56B1	chr11	5757678
SP140	chr2	231090445
AHCTF1	chr1	247094660
SETX	chr9	135230373
RFX7	chr15	56537280
HLA-E	chr6_qbl_hap6	1750201
VWA1	chr1	1371070
CCNJ	chr10	97803340
LARS1	chr5	145562213
SECISBP2L	chr15	49338643
CEP170	chr1	243418583
KMT5B	chr11	67981115
SLC27A4	chr9	131102806
SPATA17-AS1	chr1	217958462
LINC01653	chr1	218216847
TGFB2-AS1	chr1	218519020
SPATA31A1	chr9	39884942
CCDC115	chr2	131099737
DNAJC5G	chr2	27498301
SOX6	chr11	16497935
MIR548F3	chr5	109849616
TGFB2-OT1	chr1	218615968
KLK13	chr19	51568349
LINC01710	chr1	219091853
LYPLAL1-DT	chr1	219347130
PEG10	chr7	94285682
RAB3GAP1	chr2	135809862
BMP6	chr6	7726332
RPS27L	chr15	63449676
LYPLAL1-AS1	chr1	219730666
SENCR	chr11	128565918
LINC01116	chr2	177502302
LINC01133	chr1	159931014
LMCD1	chr3	8543509
MCFD2	chr2	47142945
TNFAIP1	chr17	26662787
DEDD	chr1	161102457
TAGAP	chr6	159466023
NFKBID	chr19	36391740
SNORA36B	chr1	220374018
AURKAP1	chr1	220441057
USP54	chr10	75351100
CSNK1A1	chr5	148929928
BCAS3	chr17	58755212
VEZT	chr12	95611583
CDKN1B	chr12	12870204
TCIRG1	chr11	67806492
RNU6ATAC35P	chr1	220997613
LINC01352	chr1	221002597
HLX-AS1	chr1	221053482
LINC01655	chr1	222014008
LINC02257	chr1	222151862
LINC02474	chr1	222139752
TMEM94	chr17	73452716
LILRB1	chr19	55141862
NUDT18	chr8	21966932
GTF3C2	chr2	27579901
MAP3K6	chr1	27693452
TAF1A-AS1	chr1	222763301
SVIP	chr11	22851347
SMC1B	chr22	45809480
CCL28	chr5	43412493
KIRREL2	chr19	36347813
RFWD3	chr16	74700775
RFX3	chr9	3395596
TRIM34	chr11	5653485
PACRG	chr6	163149002
DNHD1	chr11	6518526
HBEGF	chr5	139726188
ZNF580	chr19	56153463
FAM177B	chr1	222910558
TSPO	chr22	43547939
FAM184B	chr4	17783244
B9D1	chr17	19266051
CT47A8	chrX	120119638
DSCR9	chr21	38580804
VTRNA1-1	chr5	140090861
LOC100287497	chr1	224180432
SFTPC	chr8	22019311
LOC101927143	chr1	224400981
LOC101927164	chr1	224407315
ZNF195	chr11	3400376
ERICH4	chr19	41949061
FUOM	chr10	135171523
CTU2	chr16	88772911
ADCK1	chr14	78266452
MFAP1	chr15	44116888
MIR4742	chr1	224586013
SGO1	chr3	20227698
RBMS3	chr3	29322562
ZNF440	chr19	11925088
DUSP13	chr10	76868949
GGT2	chr22	21632151
CHL1	chr3	239572
TBCEL	chr11	120894781
CEACAM4	chr19	42133442
PABPC4L	chr4	135122944
PGBD1	chr6	28249314
PAFAH1B2	chr11	117015003
CARD11	chr7	3083501
EOLA1	chrX	148622557
ETV7	chr6	36355446
SLC7A4	chr22	21386850
PYCR2	chr1	226111950
MIR6741	chr1	226109842
GLP2R	chr17	9729241
SFTA2	chr6_mann_hap4	2248028
GTF2IP20	chr1	224180346
ACBD3-AS1	chr1	226335704
SORD	chr15	45315393
YY1	chr14	100705481
LIN9	chr1	226496865
GLOD4	chr17	685571
NSUN6	chr10	18940516
BOD1	chr5	173043653
AP5B1	chr11	65548447
OTULIN	chr5	14664827
ITPKB-IT1	chr1	226862769
SLC30A6	chr2	32390933
NDUFAF7	chr2	37458801
PXN	chr12	120703533
XRCC6	chr22	42017167
ADAM12	chr10	128077046
THPO	chr3	184097476
ZNF678	chr1	227751257
ZNF847P	chr1	227885408
RAD52	chr12	1058860
COMMD2	chr3	149470276
ZC3H10	chr12	56512201
AGBL4	chr1	50489626
MISP	chr19	751112
HNRNPA1	chr12	54674510
TCF7L2	chr10	114710006
MIR5008	chr1	228129384
LOC107985355	chr1	228154712
ELN	chr7	73442503
MIR3620	chr1	228284964
RTP1	chr3	186915274
ENDOV	chr17	78388967
GINS2	chr16	85722560
CPLX2	chr5	175298581
CDK11B	chr1	1655769
JAG2	chr14	105635113
TEX14	chr17	56769416
IBA57-DT	chr1	228353213
OBSCN-AS1	chr1	228401365
BAZ2B	chr2	160568953
GNL1	chr6_ssto_hap7	1857647
RAB29	chr1	205744610
CFH	chr1	196621008
PAPSS1	chr4	108641390
GNB2	chr7	100271363
IL10RA	chr11	117857106
SSX2	chrX	52780280
RUNX1T1	chr8	93107490
DNMT3A	chr2	25475132
MIR6742	chr1	228584810
TRMU	chr22	46731611
MIR4666A	chr1	228649775
RNA5S1	chr1	228781905
RNA5S2	chr1	228781905
RNA5S3	chr1	228781905
RNA5S4	chr1	228781905
RNA5S5	chr1	228781905
RNA5S6	chr1	228781905
RNA5S7	chr1	228781905
RNA5S8	chr1	228781905
RNA5S10	chr1	228781905
RNA5S11	chr1	228781905
RNA5S12	chr1	228781905
RNA5S13	chr1	228781905
RNA5S14	chr1	228781905
RNA5S15	chr1	228781905
RNA5S16	chr1	228781905
RNA5S17	chr1	228781905
RNA5S9	chr1	228764013
DUSP5P1	chr1	228780657
MIR4454	chrX	109113630
LOC105373159	chr1	229406901
MIR593	chr7	127721913
KLK8	chr19	51504958
LOC101927478	chr1	229644177
PRIM1	chr12	57146107
LINC01682	chr1	230029655
LINC01736	chr1	230138464
WDR60	chr7	158649249
PDIA6	chr2	10972611
LINC01737	chr1	230731329
CNOT8	chr5	154238187
SLC6A1	chr3	11034420
EDNRB	chr13	78493903
TOR1A	chr9	132586415
SLC26A2	chr5	149340321
SLC26A3	chr7	107443668
PCDHGB7	chr5	140797244
LOC101927604	chr1	231010592
SPECC1	chr17	19990335
SNHG6	chr8	67837776
DHRS4	chr14	24422979
NIBAN3	chr19	17638076
MIR1182	chr1	231155670
ACTL10	chr20	32254749
TMED2	chr12	124069099
SGCA	chr17	48243366
STAP1	chr4	68424445
APPL1	chr3	57261757
BACE2	chr21	42540087
SNRPD2P2	chr1	231612271
TSNAX-DISC1	chr1	231664399
LINC00582	chr1	231747836
NDST2	chr10	75571578
LAMA4	chr6	112575917
ZNF735	chr7	63667581
ZNF727	chr7	63505812
HOXC9	chr12	54393945
NUDT21	chr16	56485244
HOXA7	chr7	27196294
PSG1	chr19	43383865
CASP7	chr10	115469104
DISC1-IT1	chr1	232061580
SLC6A9	chr1	44482835
PPARGC1A	chr4	23891670
LINC01745	chr1	232853817
LINC01744	chr1	232878461
G6PD	chrX	153775784
ITGB1	chr10	33224486
SS18	chr18	23670577
DPM3	chr1	155112883
CSNK1G3	chr5	122847793
ODF2L	chr1	86862006
MIR4427	chr1	233759898
SLC35F3	chr1	234040422
MIR4671	chr1	234442213
COA6-AS1	chr1	234509339
DCLK2	chr4	150999597
GRM8	chr7	126883569
LINC00184	chr1	234765057
LOC101927787	chr1	234782035
LINC01132	chr1	234859789
PP2672	chr1	234895803
LOC101927851	chr1	235099746
SNORA14B	chr1	235291252
EFTUD2	chr17	42976993
TBXA2R	chr19	3606873
TGM5	chr15	43559126
TRIM41	chr5	180650281
CLEC12A	chr12	10103867
MIR4753	chr1	235353431
GSTO1	chr10	106013952
TYW1	chr7	66461792
ZNF112	chr19	44860832
KIR3DL1	chr19	55327893
KIF6	chr6	39693199
MIR1537	chr1	236016360
SIDT1	chr3	113251402
MED4	chr13	48669240
MACF1	chr1	39549839
LGALS8-AS1	chr1	236687808
COBL	chr7	51384506
IRAK3	chr12	66582994
IPO9	chr1	201798285
NRXN1	chr2	51259674
GALNT14	chr2	31361306
ASB17	chr1	76398089
SOCS4	chr14	55493954
SLC22A9	chr11	63137257
DGAT2	chr11	75479823
CLDN7	chr17	7166264
CYP2W1	chr7	1022817
TTC19	chr17	15903138
UBA6	chr4	68566873
MIR4428	chr1	237634419
LOC100130331	chr1	238025475
ARPIN	chr15	90455919
CHRM3-AS2	chr1	239882419
CHRM3-AS1	chr1	240063172
RPS7P5	chr1	240170824
GATD3B	chr21	45553565
EPHA4	chr2	222437024
CFAP53	chr18	47792865
TRAM1L1	chr4	118006732
CXADR	chr21	18885361
SCUBE3	chr6	35181733
FOLH1B	chr11	89392465
RDX	chr11	110167437
PBX2	chr6_mcf_hap5	3537803
MIR3123	chr1	241295572
GPAT3	chr4	84457261
ENOX2	chrX	130037291
SAMD9L	chr7	92777698
C1orf109	chr1	38157914
CENPM	chr22	42343168
CXCR3	chrX	70838361
SLC6A8	chrX	152953381
E2F3	chr6	20403910
GAS1	chr9	89562421
ENSA	chr1	150602098
IL7	chr8	79717758
PCDHGC3	chr5	140855533
LINC01347	chr1	243265046
JUP	chr17	39942347
TXNRD2	chr22	19929341
SPI1	chr11	47400098
OFD1	chrX	13752867
NIF3L1	chr2	201754143
ADGRG1	chr16	57662542
MIR4677	chr1	243509478
TEKT3	chr17	15244914
GLYAT	chr11	58499447
YIPF6	chrX	67718624
CATSPERE	chr1	244624575
KCTD10	chr12	109915105
IL25	chr14	23842070
CSF3R	chr1	36948915
SPAG8	chr9	35812259
MRPL54	chr19	3762680
SUPT7L	chr2	27886707
SNORA100	chr1	245017519
LOC101928068	chr1	245134171
EBP	chrX	48380196
H2BC4	chr6	26124132
EFCAB2	chr1	245133171
PACSIN2	chr22	43355862
KIF26B-AS1	chr1	245397819
OTUD4	chr4	146099310
LINC01743	chr1	246687589
GRM4	chr6	34073744
LINC01341	chr1	246952919
ASPH	chr8	62602370
NOG	chr17	54671060
NFIB	chr9	14314140
ATP11C	chrX	139015212
TK1	chr17	76183133
PHKB	chr16	47495242
KLF6	chr10	3827401
ZNF670-ZNF695	chr1	247242115
ADH1C	chr4	100273903
ZNF669	chr1	247267674
FLJ39095	chr1	247267813
MS4A6E	chr11	60102355
LIPH	chr3	185270376
ADCY4	chr14	24804277
MIR3916	chr1	247365362
VN1R5	chr1	247419374
PAAF1	chr11	73588044
ACKR1	chr1	159174665
NUB1	chr7	151038847
AHCYL1	chr1	110527387
GCSAML	chr1	247712436
GCSAML-AS1	chr1	247694106
DHX30	chr3	47844628
TUBB	chr6	30688129
RNASE9	chr14	21029090
CABP1	chr12	121088080
ARL6	chr3	97483602
RASGRP2	chr11	64512298
SF3A1	chr22	30752883
PSD3	chr8	18744567
OR2L1P	chr1	248153569
NUDT16	chr3	131100618
OR2M1P	chr1	248285438
GRAMD1B	chr11	123229130
UCMA	chr10	13276374
SEPHS1	chr10	13390293
LYPD9P	chr1	248860363
TMEM50B	chr21	34852316
MIR3124	chr1	249120576
CCDC33	chr15	74610900
P2RY6	chr11	72975597
PGBD2	chr1	249200434
ANP32B	chr9	100745623
HYOU1	chr11	118927916
EIF4G1	chr3	184032952
ALS2	chr2	202645656
MAP7	chr6	136847848
RUBCN	chr3	197463775
LOC101930421	chr10	674504
MIR5699	chr10	687718
PRR26	chr10	695975
LOC101927762	chr10	978966
DNAJC7	chr17	40169715
IDI2-AS1	chr10	1068577
HOXA-AS2	chr7	27161538
TLK1	chr2	172017403
LINC00200	chr10	1205708
TMEM214	chr2	27255833
ADARB2-AS1	chr10	1588955
LINC00700	chr10	2056542
MIR6072	chr10	2118283
LINC00701	chr10	2357268
LINC02645	chr10	2543654
MEIS3	chr19	47922784
TMEM132D	chr12	130388570
FAM122B	chrX	133931235
CDC42BPA	chr1	227506193
PDGFC	chr4	157892951
MBOAT2	chr2	9143813
SNORD142	chr10	3176296
AHSP	chr16	31539221
ZNF738	chr19	21541802
FOXM1	chr12	2986340
USP17L30	chr4	9364855
RTBDN	chr19	12941230
BORCS8-MEF2B	chr19	19302961
PPIAL4F	chr1	148806015
SMIM17	chr19	57154527
SHBG	chr17	7533453
PIP4K2C	chr12	57984975
OPN5	chr6	47749775
MIA3	chr1	222791439
PITRM1-AS1	chr10	3183793
LOC105376360	chr10	3360887
LINC02669	chr10	3545030
EZH2	chr7	148580577
LINC02639	chr10	3876142
MIR6078	chr10	4033352
LOC101927964	chr10	4093918
MIR374B	chrX	73438453
LINC00703	chr10	4448661
LINC00705	chr10	4698348
C3orf14	chr3	62304648
AKR1E2	chr10	4868369
AKR1C6P	chr10	4958465
GMIP	chr19	19754466
WDSUB1	chr2	160143214
MS4A15	chr11	60524340
MYO6	chr6	76458956
AKR1C8P	chr10	5227150
LINC02561	chr10	5313199
SNCAIP	chr5	121647386
RGL1	chr1	183605244
CRELD1	chr3	9975518
ELK1	chrX	47510003
LINC02657	chr10	5638081
HMGN3	chr6	79944399
FAM205C	chr9	34895761
MYO15B	chr17	73584139
ANXA4	chr2	69969266
ANKRD16	chr10	5931856
FBH1	chr10	5932166
DNM1L	chr12	32832134
FOLR1	chr11	71900753
ZRANB3	chr2	136288155
LINC01606	chr8	58130835
CCDC30	chr1	42998691
MBD2	chr18	51751039
NR2C1	chr12	95467394
CHRM4	chr11	46413218
RAB2B	chr14	21945118
FAM13A	chr4	89744512
MIR3155A	chr10	6194159
MIR3155B	chr10	6194225
SPATA20	chr17	48624535
CITED1	chrX	71525764
LBP	chr20	36974885
LINC02649	chr10	6368507
LINC02656	chr10	6392278
LOC101928841	chr13	114065290
LMOD3	chr3	69171746
CX3CL1	chr16	57406402
GOLGA6L2	chr15	23692390
PDIA2	chr16	333164
CCDC85B	chr11	65658144
CENPE	chr4	104119500
ZNF180	chr19	45004574
PRKCQ-AS1	chr10	6622387
LINC02648	chr10	6660678
LINC00706	chr10	6821142
MIR17HG	chr13	92000074
BMS1P20	chr22	22652463
THOC5	chr22	29949644
SNORD129	chr10	7228746
EPHX1	chr1	225997776
LINC01089	chr12	122240852
KRTAP2-1	chr17	39203568
POSTN	chr13	38172905
GATA3-AS1	chr10	8095412
EVI5	chr1	93250665
LINC00708	chr10	8310268
LOC105376398	chr10	8636354
LINC02676	chr10	8939952
LOC101928272	chr10	9337556
LINC00709	chr10	9317576
LINC02670	chr10	10100685
CELF2-DT	chr10	10504312
PLAG1	chr8	57123832
MIR940	chr16	2321748
SFTA1P	chr10	10836877
MIR944	chr3	189547711
MIR200B	chr1	1102484
MIR224	chrX	151127130
ARRB2	chr17	4613927
NBPF11	chr1	147624560
LINC00710	chr10	10994126
MIR152	chr17	46114613
MIR145	chr5	148810209
MIR144	chr17	27188636
ANKFY1	chr17	4167274
MIR221	chrX	45605694
PORCN	chrX	48367380
RAD23B	chr9	110046334
ZNF331	chr19	54058561
MAGI1	chr3	66024593
HAO2	chr1	119911408
NFRKB	chr11	129765473
KIF23	chr15	69706688
MGAM	chr7	141695679
CELF2-AS2	chr10	11147451
CENPK	chr5	64858995
MARCHF10	chr17	60885675
GOLGA6L4	chr15	84904525
CELF2-AS1	chr10	11386673
OLAH	chr10	15085942
PROSER2-AS1	chr10	11936709
OXGR1	chr13	97646730
SRPK3	chrX	153046496
ZC2HC1C	chr14	75536344
CNTLN	chr9	17135038
MIR548AK	chr10	12172815
TFDP2	chr3	141868386
CDR1	chrX	139866723
TM4SF5	chr17	4675181
HIP1R	chr12	123319295
SPP2	chr2	234959346
MIR4480	chr10	12620752
MIR4481	chr10	12695196
MIR548Q	chr10	12767352
AIFM1	chrX	129299861
CACNG5	chr17	64831235
SEPTIN6	chrX	118827131
ZNF81	chrX	47696301
PALM3	chr19	14168450
WDR55	chr5	140044384
GPC3	chrX	133119621
GUCY1A1	chr4	156587862
BEND7	chr10	13568221
ZNF256	chr19	58459074
CHST4	chr16	71560329
LPCAT3	chr12	7125780
DCLRE1C	chr10	14996095
LOC101928453	chr10	14116283
OR10A7	chr12	55614809
OR4F16	chr1	622034
MIR4293	chr10	14425276
MIR1265	chr10	14478575
PCDH15	chr10	56560991
IGFL2	chr19	46651039
CGNL1	chr15	57668703
C22orf42	chr22	32555290
SAMD15	chr14	77843721
HSPA14	chr10	14880305
SBSN	chr19	36019213
LRTM2	chr12	1929731
FYN	chr6	112081120
TMEM201	chr1	9648969
SLC7A13	chr8	87242610
CMBL	chr5	10308014
VWCE	chr11	61062788
GOSR2	chr17	45000526
RASA1	chr5	86563700
FXN	chr9	71650668
MUC1	chr1	155162700
TOM1L2	chr17	17875714
MIR941-4	chr20	62551109
FZD4-DT	chr11	86666663
LINC02740	chr11	42275240
TAC4	chr17	47925379
KIF14	chr1	200589879
DCLRE1CP1	chr10	15077424
ACBD7-DCLRE1CP1	chr10	15130775
NSD2	chr4	1894509
PRMT2	chr21	48055507
LCE3D	chr1	152552992
RUFY3	chr4	71600127
PIWIL3	chr22	25170687
PPIAP30	chr10	15197346
ARHGAP30	chr1	161039681
NAF1	chr4	164088042
HNRNPA3	chr2	178077422
TRIR	chr19	12845498
BMP2	chr20	6748333
KCNA3	chr1	111216076
CD82	chr11	44587213
APBB2	chr4	40859209
HMGCL	chr1	24151919
MUC21	chr6_qbl_hap6	2244480
CSNK1G1	chr15	64648372
PRRX2	chr9	132427926
ANAPC1	chr2	112641770
ZNF728	chr19	23185978
TYSND1	chr10	71906456
ZNF44	chr19	12405714
SAXO2	chr15	82555159
KCNT2	chr1	196577570
ATAD1	chr10	89577988
IGF1R	chr15	99191768
VIM-AS1	chr10	17271984
KIT	chr4	55524095
CCDC40	chr17	78010441
STAM-AS1	chr10	17685917
SERPINB8	chr18	61637315
PRRC2C	chr1	171454669
SLAMF7	chr1	160709037
ZNF619	chr3	40518613
SEC22C	chr3	42623459
RORB	chr9	77112251
ELMOD1	chr11	107461817
SLC39A12-AS1	chr10	18299491
TRIM36	chr5	114515991
USP49	chr6	41839375
FOXN1	chr17	26850959
ETV4	chr17	41623708
VAV2	chr9	136857446
NDUFC2	chr11	77790908
DDIAS	chr11	82612778
ANKRD42	chr11	82904754
LOC101928834	chr10	20017479
MIR4675	chr10	20840899
USP17L28	chr4	9326891
LGALS8	chr1	236686739
SYN2	chr3	12045862
NEBL-AS1	chr10	21463231
LINC02643	chr10	21661879
XPR1	chr1	180601158
DDIT3	chr12	57914300
SEPTIN4	chr17	56618179
SRP68	chr17	74068607
LPIN3	chr20	39969461
ST3GAL5	chr2	86114672
LOC100130992	chr10	22541001
DAD1	chr14	23058130
FAM126B	chr2	201936394
CHID1	chr11	910810
LOC100499489	chr10	22726858
ARMC3	chr10	23216982
ACD	chr16	67694163
MYL1	chr2	211168339
MORN3	chr12	122110550
RPL17	chr18	47017956
LOC105376453	chr10	23632886
CCR9	chr3	45927996
GTF2IRD1	chr7	73868236
KIAA1217	chr10	24498067
TMPRSS3	chr21	43816161
AMIGO1	chr1	110052349
MYORG	chr9	34376896
SLC24A3	chr20	19193286
DOCK2	chr5	169064279
NCAM2	chr21	22370727
ZNF541	chr19	48076405
FANCL	chr2	58468460
USP16	chr21	30396938
SNCA	chr4	90759455
B4GALNT1	chr12	58026462
CDH19	chr18	64271327
ZNF551	chr19	58193345
LINC01516	chr10	25401987
GPR158-AS1	chr10	25465205
LINC00836	chr10	25940641
LOC101929073	chr10	26222639
MTHFD1L	chr6	151187469
FOXI1	chr5	169532901
AHI1	chr6	135818903
SYTL2	chr11	85430223
VSIG10L2	chr11	125815951
LOC101929117	chr10	26868236
FAM238A	chr10	26878794
FAM238B	chr10	26932037
RAD23A	chr19	13056628
SLC16A4	chr1	110933648
ANKRD54	chr22	38240454
POMGNT1	chr1	46685977
TUBB4A	chr19	6502595
NUP210L	chr1	154127592
PSMC6	chr14	53173918
ACSL6	chr5	131347351
UROD	chr1	45477926
SLC46A1	chr17	26733230
NCOR1P4	chr20	25733197
CA12	chr15	63674309
LIN7A	chr12	81331694
DPCD	chr10	103348078
ADIPOQ	chr3	186560499
KLF11	chr2	10183677
ESM1	chr5	54281421
GLB1	chr3	33138722
GDAP2	chr1	118472244
ZNF33B	chr10	43134018
SRPRA	chr11	126138790
CNPY1	chr7	155363441
MIR4775	chr2	208619531
XIRP1	chr3	39234086
MIR4496	chr12	109029586
NDRG4	chr16	58534047
RAD51-AS1	chr15	40987303
LINC00963	chr9	132250939
PARTICL	chr2	85766009
MIF-AS1	chr22	24241117
UCKL1	chr20	62582540
CASC11	chr8	128746213
TUNAR	chr14	96343109
CALML3-AS1	chr10	5568209
DLGAP2	chr8	687628
LASP1	chr17	37026112
TP73-AS1	chr1	3663937
METTL23	chr17	74722912
ATP8B2	chr1	154298001
ZC4H2	chrX	64196330
AHDC1	chr1	27930005
CCL26	chr7	75401529
PDE6G	chr17	79630157
SPAG1	chr8	101170815
LPO	chr17	56315787
UBTF	chr17	42298250
TM7SF2	chr11	64879326
CD58	chr1	117113648
FAM99A	chr11	1686829
FAM99B	chr11	1706859
NENF	chr1	212606262
RACGAP1P	chr12	45459194
ASB13	chr10	5708558
LRRC37A6P	chr10	27541235
ARMC4P1	chr10	27547691
MID1	chrX	10588625
GGPS1	chr1	235491885
SLC38A6	chr14	61447963
HIF1A	chr14	62162231
AXIN1	chr16	402723
TMEM68	chr8	56685937
TRAPPC11	chr4	184580446
DDX3X	chrX	41192561
ADAM18	chr8	39442087
PM20D1	chr1	205819260
SNORD130	chr10	28362307
MIR8086	chr10	28578279
LINC02652	chr10	28784742
WAC-AS1	chr10	28821283
GPR15	chr3	98250822
GBP1	chr1	89530891
LINC01517	chr10	29032579
LINC00837	chr10	29084979
CCNA1	chr13	37005967
SVIL-AS1	chr10	29699172
SYT7	chr11	61348548
AR	chrX	66764465
OR5B21	chr11	58275773
TAPT1	chr4	16228094
C1QTNF1	chr17	77020251
PI16	chr6	36916039
PLAAT1	chr3	192959011
MIR604	chr10	29834026
MIR938	chr10	29891275
USP28	chr11	113746294
LOC101929279	chr10	30500781
GOLGA2P6	chr10	30660836
MIR7162	chr10	30657594
UBL5	chr19	9938594
SYNPO2	chr4	119810009
SVIL2P	chr10	30981203
LINC02644	chr10	31012148
ZNF438	chr10	31320866
EPGN	chr4	75174187
CABLES1	chr18	20735789
GRIA4	chr11	105480800
CBLC	chr19	45281147
PRDM11	chr11	45168894
NGEF	chr2	233792861
LRRC17	chr7	102553447
MAP1A	chr15	43809806
CAMKK2	chr12	121736111
RNF8	chr6	37321759
SMARCA1	chrX	128657467
RIOX2	chr3	97691295
SH2D2A	chr1	156786640
CEP164	chr11	117198570
MME	chr3	154798108
VARS2	chr6_mcf_hap5	2264063
AIF1L	chr9	133971863
PLD4	chr14	105391216
FAM71F1	chr7	128355445
NR3C1	chr5	142815077
ZNF534	chr19	52932401
IL2RG	chrX	70331481
SERPINA1	chr14	94856972
LOC102031319	chr10	32636292
LOC101929431	chr10	32734984
PSMF1	chr20	1093872
DBH	chr9	136501485
GRM5	chr11	88796846
GAS2	chr11	22688157
SNORC	chr2	233740320
NUMA1	chr11	71791739
ACTR1A	chr10	104262469
SNORA86	chr10	33190400
MTUS1	chr8	17658426
TSPYL4	chr6	116575238
ZNF500	chr16	4817163
TRIB2	chr2	12857062
RPL36	chr19	5690306
P4HA3	chr11	74022685
PHACTR4	chr1	28696251
LINC00838	chr10	34061608
PRR23A	chr3	138725110
TENT2	chr5	78908264
ZNF213	chr16	3185030
POLR3GL	chr1	145470400
DHX40	chr17	57642971
PARD3-AS1	chr10	35104696
POC5	chr5	75008280
PRH2	chr12	11081835
CCDC144A	chr17	16593555
MIR3611	chr10	35368608
RN7SK	chr6	52860418
STON2	chr14	81894119
KIF3A	chr5	132073238
MAGEE1	chrX	75648103
RPL36A	chrX	100645999
RPUSD4	chr11	126081545
LRRC3B	chr3	26666158
CAPN11	chr6	44126557
CBR4	chr4	169931406
TBC1D10C	chr11	67171554
OAS2	chr12	113416324
LYAR	chr4	4291748
ZNF772	chr19	57988934
PHC3	chr3	169899521
TBXT	chr6	166582143
RIN3	chr14	92980125
MIR4683	chr10	35930180
PCAT5	chr10	36067230
GNRH1	chr8	25281777
HBB	chr11	5248301
HBA2	chr16	222875
NT5C	chr17	73127890
TNIP2	chr4	2758063
LY6G6C	chr6_cox_hap2	3199140
DDX55	chr12	124086646
USH1C	chr11	17565963
ZNF33BP1	chr10	38084103
GAS2L1	chr22	29703013
KPRP	chr1	152730501
EIF2AK4	chr15	40226316
FAM47C	chrX	37026432
SSPO	chr7	149473131
TMEM26	chr10	63213139
RANBP6	chr9	6015624
FLT3	chr13	28674713
CHN1	chr2	175870109
MIR663A	chr20	26188914
MIR421	chrX	73438296
MIR758	chr14	101492357
MIR766	chrX	118780811
MIR454	chr17	57215233
MIR542	chrX	133675467
LINGO2	chr9	29213599
PARP9	chr3	122283631
ARFIP1	chr4	153701106
MCRIP1	chr17	79791167
SH3BP2	chr4	2820541
HSD17B7P2	chr10	38645308
LINC00999	chr10	38717074
ACTR3BP5	chr10	38989727
LOC441666	chr10	42863493
MTMR9LP	chr1	32707311
LINC00839	chr10	42970939
ZNF37BP	chr10	43048318
RPL10	chrX	153626718
PLEKHG1	chr6	150954100
LINC01518	chr10	43187207
LOC283028	chr10	43250651
LOC105378269	chr10	43250590
LINC02623	chr10	43366969
LINC01264	chr10	43476955
AMHR2	chr12	53817639
TBL1X	chrX	9431335
THEMIS	chr6	128222226
LINC01605	chr8	37351431
RASGEF1A	chr10	43762513
GNAS	chr20	57466476
SPSB2	chr12	6982467
AIFM3	chr22	21319460
ZNF639	chr3	179041241
SNORD3J	chr10	43912888
ZNF487	chr10	43932296
GAS6	chr13	114567049
PAH	chr12	103311022
NFATC2IP	chr16	28962318
ZDHHC12	chr9	131486406
LINGO1	chr15	77999849
SYAP1	chrX	16737735
ZSCAN10	chr16	3149295
ADO	chr10	64564480
PGLYRP1	chr19	46526311
ZNF485	chr10	44101886
ZNF32-AS3	chr10	44124265
MMP2	chr16	55514445
ZNF32-AS1	chr10	44139320
ZNF32-AS2	chr10	44141390
LINC02658	chr10	44274350
HNRNPA3P1	chr10	44285865
LINC00619	chr10	44340754
