"","coefficients.ConditionC...ConditionA","coefficients.ConditionC...ConditionB","coefficients.ConditionC...ConditionD","coefficients.ConditionA...ConditionB","coefficients.ConditionA...ConditionD","coefficients.ConditionB...ConditionD","df.residual","sigma","stdev.unscaled.ConditionC...ConditionA","stdev.unscaled.ConditionC...ConditionB","stdev.unscaled.ConditionC...ConditionD","stdev.unscaled.ConditionA...ConditionB","stdev.unscaled.ConditionA...ConditionD","stdev.unscaled.ConditionB...ConditionD","Amean","s2.post","t.ConditionC...ConditionA","t.ConditionC...ConditionB","t.ConditionC...ConditionD","t.ConditionA...ConditionB","t.ConditionA...ConditionD","t.ConditionB...ConditionD","df.total","p.value.ConditionC...ConditionA","p.value.ConditionC...ConditionB","p.value.ConditionC...ConditionD","p.value.ConditionA...ConditionB","p.value.ConditionA...ConditionD","p.value.ConditionB...ConditionD","lods.ConditionC...ConditionA","lods.ConditionC...ConditionB","lods.ConditionC...ConditionD","lods.ConditionA...ConditionB","lods.ConditionA...ConditionD","lods.ConditionB...ConditionD","F","F.p.value"
"maternal process involved in female pregnancy (GO:0060135)",0.152092844273674,-0.007246496113401,0.059981850709877,-0.159339340387075,-0.0921109935637973,0.067228346823278,8,0.203059670340868,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00888105641947745,0.0361700941562725,0.97944395810391,-0.0466658169855963,0.38626972593114,-1.02610977508951,-0.59317423217277,0.432935542916737,10.5879122222204,0.349210165853997,0.963648104865497,0.706945986641146,0.327711778965125,0.565519521601931,0.67374843334845,-6.37411641747266,-7.13055396680752,-7.08706027312398,-6.57468766792853,-6.87769142918855,-6.73328845159951,0.450480431880118,0.722234051031086
"myoblast differentiation (GO:0045445)",0.0112742444311155,-0.450119862830592,-0.260817665704857,-0.461394107261708,-0.272091910135972,0.189302197125736,8,0.235073293685489,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-6.3675805744956e-05,0.0467680087523273,0.063849666939624,-2.5491733393081,-1.4770942025405,-2.61302300624773,-1.54094386948012,1.0720791367676,10.5879122222204,0.950279387271815,0.0277584471641868,0.168765806104745,0.0248148592517983,0.152667611472066,0.307512501244413,-6.8688968177245,-4.38121984148889,-6.08903957330516,-4.26073088406012,-5.90264980839517,-6.24383495234731,3.17265328209115,0.0693397158496509
"RNA polyadenylation (GO:0043631)",-0.404606660928023,-0.0606739463066835,-0.345501597831651,0.343932714621339,0.0591050630963722,-0.284827651524967,8,0.112235121891992,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00559983374098883,0.0145329619006926,-4.11056566375793,-0.616411602816674,-3.51009299145703,3.49415406094125,0.600472672300898,-2.89368138864035,10.5879122222204,0.00187092771225848,0.550645745266543,0.00516747788845345,0.00531143969510862,0.560824147432877,0.0151470613158948,-1.44086537604434,-6.92875901212523,-2.73503516141379,-2.71945529383256,-6.87311337215665,-3.50956545053451,8.42342302659407,0.00377168952788191
"modification-dependent macromolecule catabolic process (GO:0043632)",0.0422109130383563,-0.0693178222875596,-0.0172831828008003,-0.111528735325916,-0.0594940958391566,0.0520346394867593,8,0.0582509544823324,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00280522706571333,0.00757895722453559,0.593834804348156,-0.97518230412521,-0.243144597883977,-1.56901710847337,-0.836979402232133,0.732037706241233,10.5879122222204,0.565093659010034,0.351223637328843,0.81253947999022,0.146023413579656,0.421094003358071,0.480035783006742,-6.68330970621735,-6.63665597403,-7.13558967937515,-5.91766349502024,-6.69726782684836,-6.55105886381067,0.84349466773604,0.499198387256945
"endothelial cell differentiation (GO:0045446)",-0.277899445698681,0.534959888669497,0.20099485559946,0.812859334368178,0.478894301298142,-0.333965033070036,8,0.307100292589143,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0250155045855216,0.0762742120411975,-1.2323794424291,2.37234575140276,0.891336531643742,3.60472519383186,2.12371597407284,-1.48100921975902,10.5879122222204,0.244472514983462,0.0378209993675348,0.392553852668477,0.00439173503652089,0.0581518513431621,0.167738181469564,-6.10321924248697,-4.68113571819915,-6.75097590267144,-2.52605068725051,-5.02732648258446,-5.75658757999824,4.60647763959214,0.0265530820516341
"establishment of chromosome localization (GO:0051303)",-0.428320544831185,-0.300749492574171,-0.549193343169062,0.127571052257014,-0.120872798337877,-0.248443850594891,8,0.184604070975922,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0167378938251285,0.0307642565951763,-2.99082721116704,-2.10003880736104,-3.83484382144034,0.890788403806007,-0.844016610273296,-1.7348050140793,10.5879122222204,0.0127696491392553,0.0605590395704624,0.00296817261594628,0.392834800448716,0.417321971361647,0.111744929524244,-3.37433688496953,-5.12932408761945,-2.16869714318072,-6.70434815596194,-6.69124557305371,-5.40300361923326,5.42944233166099,0.0163626197446443
"regulation of cell division (GO:0051302)",-0.372247631504859,-0.327521163784118,-0.560117910696844,0.0447264677207415,-0.187870279191985,-0.232596746912726,8,0.0747658628163621,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0200868572484585,0.00923878250337541,-4.74318649809916,-4.1732809840115,-7.13703321796985,0.569905514087655,-2.3938467198707,-2.96375223395835,10.5879122222204,0.000673472467283305,0.00168668393219087,2.33077665941498e-05,0.580632545359339,0.0364290753926593,0.0133916514562858,-0.397940600508853,-1.55567515427227,2.86794016917727,-6.94636555657307,-4.58173819409924,-3.388016857304,17.6150761998639,0.00019693879204704
"negative regulation of cell-cell adhesion (GO:0022408)",-0.046366464332684,-0.189195811887328,-0.186232200686144,-0.142829347554644,-0.13986573635346,0.0029636112011846,8,0.197219362991737,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.031639970574565,0.0344037383112217,-0.306158831616672,-1.2492643022893,-1.22969550928816,-0.943105470672625,-0.923536677671491,0.0195687930011341,10.5879122222204,0.765419505037685,0.2384804857958,0.245436050734115,0.366649230195575,0.376294653904291,0.984751245780291,-6.82057737608779,-6.3404218483934,-6.39900344563987,-6.65604675409157,-6.62017259766997,-6.83358646039296,0.818216072365229,0.511340490201854
"positive regulation of cell-cell adhesion (GO:0022409)",0.104432104973778,0.222068504036686,0.0626933061666434,0.117636399062908,-0.0417387988071345,-0.159375197870043,8,0.277042324567326,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0281907551785935,0.0630076569446628,0.509545530473969,1.08351750373457,0.305893421911494,0.573971973260597,-0.203652108562475,-0.777624081823072,10.5879122222204,0.620821825058951,0.30263594702121,0.765616048380077,0.577975781501996,0.842486498078124,0.453815811525053,-6.73223675774566,-6.52649974299067,-7.11698182638069,-6.9439127196009,-7.04324017352914,-6.51575127800827,0.417139139022615,0.744369206452071
"serine family amino acid biosynthetic process (GO:0009070)",-0.329595743295918,-0.152015736435948,-0.00475777976717956,0.17758000685997,0.324837963528738,0.147257956668768,8,0.161968030495058,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0200511495870341,0.0248367271984204,-2.56141554058275,-1.18137287158645,-0.0369745401213585,1.3800426689963,2.52444100046139,1.14439833146509,10.5879122222204,0.0271685404926891,0.263310183300371,0.971193190894966,0.196015923969828,0.0289889686708769,0.277670410909859,-4.11492409349305,-6.41909813102251,-7.16691892099256,-6.16858553702284,-4.36056059644887,-6.16623876697422,2.92413770399956,0.0833650134690331
"neutral lipid catabolic process (GO:0046461)",0.363819058394882,0.296455515707142,0.654234418916971,-0.0673635426877406,0.290415360522089,0.35777890320983,8,0.233399159352538,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00156443556712769,0.0461754191643428,2.0736031875861,1.68966162756815,3.72883867733592,-0.383941560017945,1.65523548974982,2.03917704976776,10.5879122222204,0.0633582077900787,0.120281771981376,0.00355275698251045,0.708619823545407,0.127180236817005,0.0671870603495579,-4.9211398192547,-5.7582886206573,-2.35279585361402,-7.04069571716249,-5.74305357346285,-4.94023331813152,4.68408052752927,0.0253207691396117
"response to estradiol (GO:0032355)",0.0858814416454284,0.0765058650186417,0.411589214509633,-0.00937557662678665,0.325707772864205,0.335083349490992,8,0.0909828221988755,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0197073823103696,0.0112697322401562,0.990804925255179,0.88263990938039,4.74846035540163,-0.108165015874789,3.75765543014645,3.86582044602124,10.5879122222204,0.34388364692325,0.397027856100751,0.000667914671012385,0.915887267404217,0.00338289277045624,0.00281693276350394,-6.36302494381911,-6.72304556934977,-0.628800061768798,-7.11393157998377,-2.21082916971825,-1.82592479868518,8.89747751326769,0.00308920419924034
"4-hydroxyproline metabolic process (GO:0019471)",0.625292996952199,0.862922303138961,0.626080307774983,0.237629306186762,0.000787310822783077,-0.236841995363979,8,0.0946126259047238,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0291048638128377,0.0117787466945082,7.05634251300802,9.73795542688243,7.06522720363599,2.68161291387441,0.00888469062796851,-2.67272822324644,10.5879122222204,2.57872615139966e-05,1.30204697502918e-06,2.55008251843845e-05,0.0219964035264434,0.993076324318332,0.0223427590964039,2.93538014351594,5.86775458048909,2.77426238491566,-4.14242420345196,-7.06568642587309,-3.89054556698072,34.8119639847925,8.73721317751952e-06
"positive regulation of hormone metabolic process (GO:0032352)",0.223544491987701,0.465133833937105,0.277928801818991,0.241589341949403,0.0543843098312902,-0.187205032118113,8,0.318199636575707,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0132506342641236,0.0815182441887319,0.958919597995126,1.99524463826843,1.1922072986088,1.0363250402733,0.233287700613676,-0.803037339659624,10.5879122222204,0.358984571423552,0.0723899590968065,0.259215279341307,0.323139572821703,0.819986608789614,0.439608026683811,-6.39388342667765,-5.29606626287911,-6.44235298898994,-6.56428467990243,-7.03623676893894,-6.49524389121697,1.34919131900947,0.310642082525124
"negative regulation of hormone metabolic process (GO:0032351)",-0.0725523677844365,-0.167416899322212,0.0143639025696718,-0.0948645315377757,0.0869162703541083,0.181780801891884,8,0.414183381993629,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0026192567552042,0.134633051888206,-0.242170575962502,-0.558816316721415,0.0479448798790669,-0.316645740758914,0.290115455841569,0.606761196600482,10.5879122222204,0.813274525622751,0.587910699533534,0.962652560181755,0.757667655835657,0.777330714337094,0.556795913290795,-6.83943797904562,-6.96439495538485,-7.16641218950604,-7.06603193186099,-7.02018237035166,-6.63804063917737,0.154301937960281,0.924654339215602
"regulation of hormone metabolic process (GO:0032350)",0.198692106229113,0.270615868256686,0.220666634478346,0.0719237620275729,0.021974528249233,-0.0499492337783399,8,0.221445822289304,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00807989725226042,0.0420674022008663,1.18646080608148,1.61594301496826,1.31767848248872,0.429482208886782,0.131217676407243,-0.298264532479539,10.5879122222204,0.26138084895357,0.135482743797945,0.215410555339709,0.676181379822301,0.898063109068217,0.771272803172569,-6.15597980046352,-5.86344803772321,-6.29337984186912,-7.02086708440306,-7.05638215555259,-6.78586821450871,1.00764540548221,0.427226203964039
"regulation of cysteine-type endopeptidase activity (GO:2000116)",0.0390435189198587,0.124345383111141,0.347519590796273,0.0853018641912823,0.308476071876414,0.223174207685132,8,0.0746430744261942,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00755975940016721,0.00922492089780433,0.497866903737112,1.58560121106453,4.43142696776049,1.08773430732742,3.93356006402337,2.84582575669596,10.5879122222204,0.628756034189432,0.142218591040569,0.00110676847426687,0.300853126334908,0.00251348242393464,0.0164772754633935,-6.73845637924074,-5.90591450768117,-1.1522597510201,-6.51066783819098,-1.907191214831,-3.59241575315398,7.85905542717529,0.00483208349270953
"negative regulation of cysteine-type endopeptidase activity (GO:2000117)",-0.0320190729476498,0.266774793927294,0.428884505835815,0.298793866874944,0.460903578783464,0.162109711908521,8,0.0742238038285496,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00885490526826524,0.00917776107728042,-0.40934171926902,3.41053137242228,5.4829920052249,3.8198730916913,5.89233372449392,2.07246063280262,10.5879122222204,0.690447397660042,0.00613731073174125,0.000218902961459555,0.00304426809629229,0.000121526517502434,0.0634819065621021,-6.78109556337822,-2.87661317851482,0.531930104134778,-2.15185706178468,1.22308997000422,-4.88755827467982,15.9114344077872,0.00030501984249864
"regulation of establishment of cell polarity (GO:2000114)",0.166211044194828,0.142071064281467,0.0390431189698187,-0.0241399799133608,-0.127167925225009,-0.103027945311648,8,0.212637665975444,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0323020237938352,0.0391784661102345,1.02844670958194,0.879078278431431,0.241583027354424,-0.149368431150514,-0.786863682227521,-0.637495251077007,10.5879122222204,0.326661573947795,0.398870293802095,0.813718010481259,0.884069950381117,0.448616123297592,0.537343693348856,-6.32552340318089,-6.72622323719173,-7.13599919358076,-7.10817136380897,-6.73887050682073,-6.61809033886924,0.489451531824063,0.696916093589017
"organ regeneration (GO:0031100)",-0.214911260751583,-0.380759691794082,-0.658356164067824,-0.1658484310425,-0.443444903316241,-0.277596472273742,8,0.124177447055118,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.000666682749360427,0.0166661989066369,-2.03885584743896,-3.61225429216,-6.245802616917,-1.57339844472104,-4.20694676947803,-2.633548324757,10.5879122222204,0.0672237905681605,0.00433542446858903,7.44829121944378e-05,0.145009637554038,0.0015957147327265,0.0239358481433998,-4.97619932100634,-2.52332576998132,1.65648318876323,-5.9116020646346,-1.44100873268435,-3.95759762197149,13.887487522209,0.000540103161896333
"response to radiation (GO:0009314)",-0.183637036878933,-0.116464244339855,0.0857981212276611,0.0671727925390789,0.269435158106594,0.202262365567516,8,0.0547293485517613,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00120096038990738,0.00727833357231634,-2.63627024637915,-1.67194607002185,1.23170705665891,0.964324176357304,3.86797730303806,2.90365312668076,10.5879122222204,0.023821620740935,0.123788744775872,0.244713616307295,0.356391764927667,0.00280670521438558,0.014883767181047,-3.98717022280861,-5.78380950030081,-6.39664887757697,-6.63579300417009,-2.02009380316555,-3.49228389503965,5.93079962673944,0.0124261277190232
"regulation of sodium ion transmembrane transporter activity (GO:2000649)",0.183973823810984,0.132276552971365,0.438460674491179,-0.0516972708396197,0.254486850680195,0.306184121519815,8,0.152414030709664,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0126647748730574,0.0225672666420866,1.49989958316016,1.07842269380372,3.5746769256539,-0.42147688935644,2.07477734249374,2.49625423185018,10.5879122222204,0.162855162989567,0.304800710365697,0.0046241002730945,0.681836195552235,0.0632313252666076,0.0304568671361109,-5.76777317356374,-6.531890425983,-2.62190035750276,-7.02450832720841,-5.10591630657288,-4.19092424592174,4.48410639468238,0.028643393122656
"phosphatidylglycerol acyl-chain remodeling (GO:0036148)",-0.474197214747124,0.344411022464069,0.942782827057045,0.818608237211192,1.41698004180417,0.598371804592976,8,0.265780312449314,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0174126821371998,0.0583885970297664,-2.40348052939217,1.74565594410307,4.77851851045832,4.14913647349524,7.18199903985048,3.03286256635525,10.5879122222204,0.0358217110726668,0.109776200216106,0.000637150319537623,0.00175525934318109,2.20384936981201e-05,0.011861270161008,-4.38160443189891,-5.67662666755464,-0.579845137860254,-1.58662100298075,2.99213537100747,-3.26792395310914,18.2754952526072,0.00016776186389909
"phosphatidylinositol acyl-chain remodeling (GO:0036149)",-0.150362732465502,0.95422445243884,1.0712880193517,1.10458718490434,1.22165075181721,0.117063566912864,8,0.226511756257173,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0307336494185004,0.0437820545067744,-0.880111650870398,5.58532054031096,6.27052363181567,6.46543219118136,7.15063528268607,0.685203091504713,10.5879122222204,0.398335121521116,0.00018854022786762,7.20212638994208e-05,5.54131064183314e-05,2.29157034767686e-05,0.507939221399776,-6.4664830169556,0.716241670146091,1.69155046542013,1.99949160774377,2.95178777798243,-6.58532256879481,27.4487950524238,2.67469406849319e-05
"leukocyte proliferation (GO:0070661)",0.0962801478095613,0.403294762380497,0.515053471757146,0.307014614570935,0.418773323947585,0.11175870937665,8,0.143091663326616,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00808182037869163,0.0204857891339469,0.823864953646896,3.4509753908131,4.4072897091329,2.62711043716621,3.58342475548601,0.956314318319801,10.5879122222204,0.42818452687732,0.00572254556158819,0.00115080562260992,0.0242081831756279,0.00455517128401724,0.360239280848892,-6.51500973786825,-2.80564346005278,-1.19262747932891,-4.23648181031843,-2.51384767450561,-6.35946589326695,8.77822774879918,0.00324602101399153
"regulation of leukocyte proliferation (GO:0070663)",-0.0346562224436621,0.243087367137425,0.484222050503524,0.277743589581087,0.518878272947186,0.241134683366099,8,0.0906229010108216,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0144455828890202,0.0112203447905566,-0.400704067330331,2.81063802862338,5.59869863033151,3.21134209595371,5.99940269766185,2.78806060170813,10.5879122222204,0.696604950799264,0.0175295976410218,0.00018491557261771,0.00867823831363929,0.000104589599374505,0.0182399818197108,-6.78482563108251,-3.92926881060004,0.707839812512559,-3.21606052251158,1.37880362056059,-3.69220439200502,15.5807514892581,0.000333497260960334
"striated muscle hypertrophy (GO:0014897)",0.00964458453558746,0.183831956651504,-0.247741657947906,0.174187372115916,-0.257386242483493,-0.431573614599409,8,0.526982583549824,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0428613352528966,0.214847369662672,0.0254837967749843,0.485737483742143,-0.65460549809547,0.460253686967158,-0.680089294870454,-1.14034298183761,10.5879122222204,0.980143013078352,0.637048881469785,0.526685925863111,0.654641889310896,0.51104422915668,0.279282021854609,-6.87075214947737,-7.00485163549779,-6.93915997136348,-7.00625612952654,-6.81980734937584,-6.17069513025639,0.439972617789598,0.729165126686824
"positive regulation of leukocyte proliferation (GO:0070665)",0.190442590780325,0.496327494391169,0.729380065751904,0.305884903610844,0.538937474971578,0.233052571360735,8,0.0956021255777576,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0126931125802683,0.0119209597619744,2.13625995465042,5.56747598483822,8.18170672747985,3.43121603018781,6.04544677282944,2.61423074264163,10.5879122222204,0.056913666954155,0.000193493449362561,6.73666107717523e-06,0.00592145848779458,9.80995306041596e-05,0.0247622634563467,-4.82089873638878,0.689248678395267,4.15804651552322,-2.82978869808712,1.44526261770581,-3.99058756240977,26.2759321524644,3.2741874575127e-05
"negative regulation of leukocyte proliferation (GO:0070664)",-0.508213828044143,-0.276246200745559,-0.103104239109531,0.231967627298584,0.405109588934612,0.173141961636028,8,0.139357580013234,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00273213186058341,0.0196888886804509,-4.43589753097412,-2.41118948798412,-0.899935842869679,2.02470804299,3.53596168810444,1.51125364511444,10.5879122222204,0.00109880861413938,0.0353428204007322,0.388164490775522,0.0688605035269996,0.0049423295892533,0.159979685594261,-0.898278242700955,-4.61575771469148,-6.74318938921881,-5.23843410982197,-2.59671066571341,-5.71626886499289,7.53121024541857,0.00561044998425574
"response to manganese ion (GO:0010042)",0.569583828510564,0.0547853153853142,0.30820434758066,-0.51479851312525,-0.261379480929905,0.253419032195345,8,0.335202290147592,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0116686513030404,0.0899123950808887,2.3264487869758,0.223769047052373,1.25885180491285,-2.10267973992343,-1.06759698206295,1.03508275786047,10.5879122222204,0.0409673740474518,0.827195913409338,0.235131315838603,0.0602859308819413,0.309439578281315,0.323693042904645,-4.50997215271624,-7.10457333989674,-6.36459551951903,-5.11397715933943,-6.47781923035385,-6.28196181403579,2.27992768866444,0.138279199318609
"response to phenylpropanoid (GO:0080184)",-0.112154015008514,0.339671474950103,0.663569001075418,0.451825489958617,0.775723016083932,0.323897526125315,8,0.344638918562848,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0744000434305592,0.0947597407961396,-0.446219477170279,1.35142756993931,2.64009641298888,1.79764704710959,3.08631589015916,1.28866884304957,10.5879122222204,0.66442626676447,0.204725913435429,0.0236619658948446,0.100772488709307,0.0107999238196629,0.224958928943706,-6.76430593141263,-6.21598059239948,-4.25927834939097,-5.58830827074886,-3.38507213899194,-5.99994916120826,3.90218757255874,0.0416856594246513
"histone H3-K4 trimethylation (GO:0080182)",-0.234049873394177,0.108045624334329,0.216551312334683,0.342095497728506,0.45060118572886,0.108505688000354,8,0.304534802435295,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0168421115899852,0.0750886005392509,-1.04608514506016,0.482909565238431,0.967875383530246,1.52899471029859,2.0139605285904,0.484965818291814,10.5879122222204,0.318815784777945,0.638989897587699,0.354695482051805,0.155574732060927,0.0701288132846102,0.637578251833747,-6.30755780230015,-7.00630874542686,-6.67944290445044,-5.97254292649415,-5.2025059148097,-6.70796204194933,1.48222203611846,0.275147477823185
"striated muscle atrophy (GO:0014891)",0.390383687017869,0.406163983099323,0.333328883164179,0.0157802960814543,-0.0570548038536895,-0.0728350999351438,8,0.367304913739819,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0263982665625088,0.106952448956587,1.46198165916892,1.52107865582771,1.24831218583932,0.0590969966587906,-0.213669473329597,-0.272766469988387,10.5879122222204,0.172783475843505,0.15752703836799,0.238815182354525,0.953975455377457,0.834863494834426,0.790279080812634,-5.81803721574395,-5.99455662122655,-6.37710261994308,-7.11839076743077,-7.0409782463293,-6.79368436320819,1.02215043471214,0.421411632451773
"eye photoreceptor cell development (GO:0042462)",-0.564296624558341,-0.0593847564264966,-0.0982869581435395,0.504911868131844,0.466009666414801,-0.038902201717043,8,0.200606516346998,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0136014826117534,0.0354218784194738,-3.67212357690998,-0.386442439476703,-0.639595986568482,3.28568113743328,3.0325275903415,-0.253153547091778,10.5879122222204,0.00391339193811823,0.706821878687234,0.536028501182802,0.00762323837957461,0.0118682442417202,0.804997327069534,-2.18952429229991,-7.05109959716616,-6.94932357596073,-3.08537704564683,-3.47938657077059,-6.79922807035155,5.68315386510563,0.0142107110629202
"induction of positive chemotaxis (GO:0050930)",0.285355472812921,0.319677144756568,-0.414446777939493,0.0343216719436475,-0.699802250752413,-0.734123922696061,8,0.152674045956945,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0504734562505,0.022627204843335,2.32335932302375,2.60280578222769,-3.37441849609858,0.279446459203938,-5.69777781912233,-5.97722427832627,10.5879122222204,0.0411880519156684,0.0252642557484588,0.00653373365593193,0.785285375924431,0.000160278844862517,0.000107878380156308,-4.51509397336196,-4.28921431768796,-2.97326302416243,-7.07798709418501,0.935927669902686,1.49865718239705,15.3048781906248,0.000359697314498181
"regulation of fatty acid metabolic process (GO:0019217)",0.128873571187845,-0.45141432983618,-0.0103079417125728,-0.580287901024025,-0.139181512900418,0.441106388123607,8,0.136980483910164,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00259461916434189,0.0191925625900221,1.13931288768383,-3.99074968534764,-0.091127845146077,-5.13006257303147,-1.23044073282991,3.89962184020156,10.5879122222204,0.279692544181549,0.00228385050001026,0.929092126908327,0.000370564059595797,0.24516820874802,0.00266101397330893,-6.20855565885642,-1.86743948415108,-7.16314659561775,0.0227666309779986,-6.29728901882113,-1.7682712303891,10.045166348018,0.00196093168415406
"regulation of lipid metabolic process (GO:0019216)",0.278316350566611,-0.137769234438335,0.174915716925693,-0.416085585004946,-0.103400633640919,0.312684951364028,8,0.0891548245911748,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0121395367966049,0.0110209268624932,3.24694767855268,-1.60726991075025,2.04063534125109,-4.85421758930293,-1.20631233730159,3.64790525200134,10.5879122222204,0.008155498457718,0.137378805100673,0.0670205389664699,0.00056612537569745,0.253960193117223,0.00407874775093299,-2.92795887911132,-5.87563673273513,-5.25923038340439,-0.417085404845304,-6.32527685743673,-2.19990062202066,9.26933482937126,0.00265483751672097
"regulation of steroid metabolic process (GO:0019218)",-0.227162881961237,-0.493677030175529,-0.0559563745410533,-0.266514148214292,0.171206507420183,0.437720655634475,8,0.188180816371014,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.011397565663738,0.0317717123437267,-1.56085546183687,-3.39209681740333,-0.384481003555398,-1.83124135556646,1.17637445828147,3.00761581384793,10.5879122222204,0.147928469609552,0.00633649022790181,0.708231846033616,0.0953182496431225,0.265216522650756,0.012398699878761,-5.68524895695276,-2.908978985782,-7.08779987557087,-5.53784686956363,-6.35941845055359,-3.31181490126194,4.6455784809368,0.0259235246514722
"secondary metabolic process (GO:0019748)",0.0289775029548193,0.016954505562009,0.16288091008304,-0.0120229973928103,0.133903407128221,0.145926404521031,8,0.148634301069112,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0163339030380685,0.0217075078688887,0.240880478243003,0.140937244127558,1.3539755850817,-0.0999432341154455,1.1130951068387,1.21303834095415,10.5879122222204,0.814248388278968,0.890565048709155,0.203937453583967,0.922256592768736,0.29029984494954,0.251484386526289,-6.83977353463813,-7.12094664842589,-6.24827729171083,-7.11486093390773,-6.42939558906121,-6.08897302325895,0.771927996686116,0.534343098356451
"glycosylation (GO:0070085)",0.081968915877243,0.148185361000626,0.606913075422016,0.0662164451233828,0.524944159544773,0.45872771442139,8,0.0714358775633403,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00191690869910319,0.00887092932952019,1.06588478018328,1.92693192591538,7.89200885559292,0.861047145732103,6.82612407540964,5.96507692967754,10.5879122222204,0.310178139912674,0.0812347724297642,9.39021674936483e-06,0.408288228195731,3.45595219852057e-05,0.000109726437837731,-6.2870965415024,-5.40269790575466,3.81349996038045,-6.73075000449144,2.52671766451589,1.48134982571756,25.0087492742545,4.11074155955446e-05
